Wed Jun 12 10:47:34 2024

        Time,      Tsample,     Integral,       Moment,            M,      M(Mass), Tsample(Aver),            H
           s,            K,           Vs,          emu,     emu/cm^3,        emu/g,            K,            T

         6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0 
5.058594E+00 9.996000E+01 7.503770E-05 3.490205E-01 5.232690E-03 5.232690E+00 9.996000E+01 1.000000E-02 
1.203906E+01 9.997000E+01 7.465241E-05 3.472284E-01 5.205823E-03 5.205823E+00 9.997000E+01 1.000000E-02 
1.855078E+01 9.995000E+01 7.491790E-05 3.484632E-01 5.224337E-03 5.224337E+00 9.995000E+01 1.000000E-02 
2.458984E+01 1.000200E+02 7.443369E-05 3.462110E-01 5.190570E-03 5.190570E+00 1.000200E+02 1.000000E-02 
3.112891E+01 1.001200E+02 7.501960E-05 3.489363E-01 5.231428E-03 5.231428E+00 1.001200E+02 1.000000E-02 
3.762891E+01 1.002100E+02 7.513307E-05 3.494641E-01 5.239341E-03 5.239341E+00 1.002100E+02 1.000000E-02 
4.428906E+01 1.004000E+02 7.468988E-05 3.474026E-01 5.208435E-03 5.208435E+00 1.004000E+02 1.000000E-02 
5.119922E+01 1.005700E+02 7.481081E-05 3.479651E-01 5.216868E-03 5.216868E+00 1.005700E+02 1.000000E-02 
5.762891E+01 1.007300E+02 7.521591E-05 3.498494E-01 5.245118E-03 5.245118E+00 1.007300E+02 1.000000E-02 
6.337891E+01 1.009400E+02 7.454003E-05 3.467056E-01 5.197986E-03 5.197986E+00 1.009400E+02 1.000000E-02 
6.991016E+01 1.011600E+02 7.485183E-05 3.481559E-01 5.219729E-03 5.219729E+00 1.011600E+02 1.000000E-02 
7.648828E+01 1.013400E+02 7.503236E-05 3.489956E-01 5.232318E-03 5.232318E+00 1.013400E+02 1.000000E-02 
8.289844E+01 1.015800E+02 7.477926E-05 3.478184E-01 5.214668E-03 5.214668E+00 1.015800E+02 1.000000E-02 
8.916797E+01 1.018400E+02 7.445996E-05 3.463332E-01 5.192402E-03 5.192402E+00 1.018400E+02 1.000000E-02 
9.575000E+01 1.020300E+02 7.419018E-05 3.450784E-01 5.173589E-03 5.173589E+00 1.020300E+02 1.000000E-02 
1.022891E+02 1.023000E+02 7.508839E-05 3.492562E-01 5.236225E-03 5.236225E+00 1.023000E+02 1.000000E-02 
1.088281E+02 1.026000E+02 7.486837E-05 3.482329E-01 5.220883E-03 5.220883E+00 1.026000E+02 1.000000E-02 
1.152109E+02 1.028800E+02 7.486635E-05 3.482234E-01 5.220741E-03 5.220741E+00 1.028800E+02 1.000000E-02 
1.213477E+02 1.031000E+02 7.426672E-05 3.454344E-01 5.178927E-03 5.178927E+00 1.031000E+02 1.000000E-02 
1.280078E+02 1.033100E+02 7.480922E-05 3.479577E-01 5.216758E-03 5.216758E+00 1.033100E+02 1.000000E-02 
1.346211E+02 1.035900E+02 7.508884E-05 3.492583E-01 5.236257E-03 5.236257E+00 1.035900E+02 1.000000E-02 
1.410586E+02 1.032300E+02 7.483280E-05 3.480674E-01 5.218402E-03 5.218402E+00 1.032300E+02 1.000000E-02 
1.480508E+02 1.039800E+02 7.456694E-05 3.468308E-01 5.199863E-03 5.199863E+00 1.039800E+02 1.000000E-02 
1.546797E+02 1.044100E+02 7.478716E-05 3.478551E-01 5.215219E-03 5.215219E+00 1.044100E+02 1.000000E-02 
1.609492E+02 1.047300E+02 7.472980E-05 3.475883E-01 5.211219E-03 5.211219E+00 1.047300E+02 1.000000E-02 
1.681484E+02 1.050700E+02 7.474829E-05 3.476743E-01 5.212509E-03 5.212509E+00 1.050700E+02 1.000000E-02 
1.748008E+02 1.053200E+02 7.491359E-05 3.484432E-01 5.224036E-03 5.224036E+00 1.053200E+02 1.000000E-02 
1.812695E+02 1.056600E+02 7.492676E-05 3.485044E-01 5.224954E-03 5.224954E+00 1.056600E+02 1.000000E-02 
1.874375E+02 1.053200E+02 7.532977E-05 3.503789E-01 5.253058E-03 5.253058E+00 1.053200E+02 1.000000E-02 
1.939375E+02 1.059300E+02 7.436492E-05 3.458912E-01 5.185775E-03 5.185775E+00 1.059300E+02 1.000000E-02 
2.001406E+02 1.063300E+02 7.447050E-05 3.463823E-01 5.193137E-03 5.193137E+00 1.063300E+02 1.000000E-02 
2.069375E+02 1.065600E+02 7.472614E-05 3.475713E-01 5.210964E-03 5.210964E+00 1.065600E+02 1.000000E-02 
2.133594E+02 1.068400E+02 7.457929E-05 3.468883E-01 5.200724E-03 5.200724E+00 1.068400E+02 1.000000E-02 
2.197188E+02 1.069400E+02 7.493405E-05 3.485384E-01 5.225463E-03 5.225463E+00 1.069400E+02 1.000000E-02 
2.262500E+02 1.065600E+02 7.463190E-05 3.471330E-01 5.204393E-03 5.204393E+00 1.065600E+02 1.000000E-02 
2.326484E+02 1.072400E+02 7.516732E-05 3.496233E-01 5.241729E-03 5.241729E+00 1.072400E+02 1.000000E-02 
2.390586E+02 1.076800E+02 7.422455E-05 3.452383E-01 5.175986E-03 5.175986E+00 1.076800E+02 1.000000E-02 
