Wed Jun 12 01:50:20 2024

        Time,      Tsample,     Integral,       Moment,            M,      M(Mass), Tsample(Aver),            H
           s,            K,           Vs,          emu,     emu/cm^3,        emu/g,            K,            T

         6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0 
1.185801E+02 9.993000E+01 2.143310E-05 9.969111E-02 1.494619E-03 1.494619E+00 9.993000E+01 -1.000000E-04 
1.851899E+02 9.994000E+01 4.759694E-05 2.213861E-01 3.319132E-03 3.319132E+00 9.994000E+01 5.000000E-03 
2.782300E+02 9.999000E+01 7.440910E-05 3.460967E-01 5.188856E-03 5.188856E+00 9.999000E+01 1.000000E-02 
3.452402E+02 9.996000E+01 1.025686E-04 4.770742E-01 7.152536E-03 7.152536E+00 9.996000E+01 1.500000E-02 
4.110601E+02 9.993000E+01 1.313892E-04 6.111263E-01 9.162314E-03 9.162314E+00 9.993000E+01 2.000000E-02 
4.714902E+02 9.993000E+01 1.584382E-04 7.369383E-01 1.104855E-02 1.104855E+01 9.993000E+01 2.500000E-02 
5.299102E+02 9.995000E+01 1.867790E-04 8.687593E-01 1.302488E-02 1.302488E+01 9.995000E+01 3.000000E-02 
5.905298E+02 9.988000E+01 2.146284E-04 9.982942E-01 1.496693E-02 1.496693E+01 9.988000E+01 3.500000E-02 
6.509302E+02 9.994000E+01 2.413759E-04 1.122704E+00 1.683214E-02 1.683214E+01 9.994000E+01 4.000000E-02 
7.003599E+02 9.996000E+01 2.696570E-04 1.254247E+00 1.880430E-02 1.880430E+01 9.996000E+01 4.490000E-02 
7.493701E+02 1.000000E+02 2.950007E-04 1.372127E+00 2.057162E-02 2.057162E+01 1.000000E+02 4.990000E-02 
8.155801E+02 1.000100E+02 4.243579E-04 1.973802E+00 2.959224E-02 2.959224E+01 1.000100E+02 7.490000E-02 
8.773999E+02 9.996000E+01 5.383969E-04 2.504228E+00 3.754465E-02 3.754465E+01 9.996000E+01 9.980000E-02 
9.350103E+02 9.993000E+01 6.394452E-04 2.974231E+00 4.459117E-02 4.459117E+01 9.993000E+01 1.248000E-01 
9.914302E+02 9.993000E+01 7.311982E-04 3.400999E+00 5.098948E-02 5.098948E+01 9.993000E+01 1.498000E-01 
1.045060E+03 1.000100E+02 8.128305E-04 3.780692E+00 5.668204E-02 5.668204E+01 1.000100E+02 1.746000E-01 
1.097870E+03 9.994000E+01 8.812447E-04 4.098905E+00 6.145285E-02 6.145285E+01 9.994000E+01 1.996000E-01 
1.148690E+03 9.993000E+01 9.368116E-04 4.357362E+00 6.532776E-02 6.532776E+01 9.993000E+01 2.246000E-01 
1.198900E+03 9.998000E+01 9.809985E-04 4.562887E+00 6.840910E-02 6.840910E+01 9.998000E+01 2.496000E-01 
1.248120E+03 1.000000E+02 1.032998E-03 4.804751E+00 7.203525E-02 7.203525E+01 1.000000E+02 2.746000E-01 
1.296130E+03 9.998000E+01 1.068597E-03 4.970332E+00 7.451772E-02 7.451772E+01 9.998000E+01 2.994000E-01 
1.359750E+03 1.000000E+02 1.175786E-03 5.468895E+00 8.199244E-02 8.199244E+01 1.000000E+02 4.492000E-01 
1.420560E+03 1.000100E+02 1.230194E-03 5.721961E+00 8.578653E-02 8.578653E+01 1.000100E+02 5.990000E-01 
1.478970E+03 9.998000E+01 1.248795E-03 5.808481E+00 8.708367E-02 8.708367E+01 9.998000E+01 7.486000E-01 
1.535990E+03 1.000000E+02 1.259094E-03 5.856383E+00 8.780184E-02 8.780184E+01 1.000000E+02 8.984000E-01 
1.591800E+03 9.989000E+01 1.269731E-03 5.905857E+00 8.854359E-02 8.854359E+01 9.989000E+01 1.048000E+00 
1.647020E+03 9.997000E+01 1.267330E-03 5.894692E+00 8.837619E-02 8.837619E+01 9.997000E+01 1.197800E+00 
1.706040E+03 1.000300E+02 1.256453E-03 5.844100E+00 8.761770E-02 8.761770E+01 1.000300E+02 1.052200E+00 
1.763050E+03 1.000000E+02 1.258447E-03 5.853375E+00 8.775675E-02 8.775675E+01 1.000000E+02 9.016000E-01 
1.821680E+03 9.994000E+01 1.241632E-03 5.775163E+00 8.658415E-02 8.658415E+01 9.994000E+01 7.513000E-01 
1.881690E+03 9.999000E+01 1.227149E-03 5.707798E+00 8.557419E-02 8.557419E+01 9.999000E+01 6.010000E-01 
1.944310E+03 1.000000E+02 1.186307E-03 5.517831E+00 8.272611E-02 8.272611E+01 1.000000E+02 4.506000E-01 
2.011930E+03 9.994000E+01 1.067400E-03 4.964765E+00 7.443426E-02 7.443426E+01 9.994000E+01 3.004000E-01 
2.059740E+03 9.992000E+01 1.033872E-03 4.808814E+00 7.209617E-02 7.209617E+01 9.992000E+01 2.754000E-01 
2.107760E+03 1.000300E+02 9.944868E-04 4.625625E+00 6.934970E-02 6.934970E+01 1.000300E+02 2.504000E-01 
2.157360E+03 1.000200E+02 9.451513E-04 4.396152E+00 6.590933E-02 6.590933E+01 1.000200E+02 2.253000E-01 
2.208790E+03 1.000600E+02 8.863047E-04 4.122441E+00 6.180571E-02 6.180571E+01 1.000600E+02 2.002000E-01 
