Tue Jun 11 15:32:07 2024

        Time,      Tsample,     Integral,       Moment,            M,      M(Mass), Tsample(Aver),            H
           s,            K,           Vs,          emu,     emu/cm^3,        emu/g,            K,            T

         6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0 
6.730078E+01 2.989000E+02 -1.279196E-06 -5.949881E-03 4.416045E-05 4.416045E-02 2.989000E+02 0.000000E+00 
1.626484E+02 2.989000E+02 5.003371E-06 2.327202E-02 4.416045E-05 4.416045E-02 2.989000E+02 2.500000E-02 
2.338711E+02 2.989000E+02 1.372676E-05 6.384684E-02 4.416045E-05 4.416045E-02 2.989000E+02 4.990000E-02 
3.016914E+02 2.989000E+02 2.164223E-05 1.006638E-01 4.416045E-05 4.416045E-02 2.989000E+02 7.490000E-02 
3.645117E+02 2.989000E+02 2.943905E-05 1.369289E-01 4.416045E-05 4.416045E-02 2.989000E+02 9.980000E-02 
4.227188E+02 2.989000E+02 3.668436E-05 1.706288E-01 4.416045E-05 4.416045E-02 2.989000E+02 1.248000E-01 
4.801484E+02 2.989000E+02 4.524104E-05 2.104282E-01 4.416045E-05 4.416045E-02 2.989000E+02 1.498000E-01 
5.355703E+02 2.989000E+02 5.342145E-05 2.484775E-01 4.416045E-05 4.416045E-02 2.989000E+02 1.747000E-01 
5.899688E+02 2.989000E+02 6.164085E-05 2.867081E-01 4.416045E-05 4.416045E-02 2.989000E+02 1.997000E-01 
6.420000E+02 2.989000E+02 7.046270E-05 3.277409E-01 4.416045E-05 4.416045E-02 2.989000E+02 2.246000E-01 
6.930000E+02 2.989000E+02 7.884224E-05 3.667164E-01 4.416045E-05 4.416045E-02 2.989000E+02 2.496000E-01 
7.426484E+02 2.989000E+02 8.894851E-05 4.137234E-01 4.416045E-05 4.416045E-02 2.989000E+02 2.746000E-01 
7.922617E+02 2.989000E+02 9.957544E-05 4.631521E-01 4.416045E-05 4.416045E-02 2.989000E+02 2.996000E-01 
8.580898E+02 2.989000E+02 1.699310E-04 7.903945E-01 4.416045E-05 4.416045E-02 2.989000E+02 4.492000E-01 
9.205312E+02 2.989000E+02 2.464425E-04 1.146270E+00 4.416045E-05 4.416045E-02 2.989000E+02 5.990000E-01 
9.799609E+02 2.989000E+02 3.116082E-04 1.449373E+00 4.416045E-05 4.416045E-02 2.989000E+02 7.487000E-01 
1.038371E+03 2.989000E+02 3.450964E-04 1.605136E+00 4.416045E-05 4.416045E-02 2.989000E+02 8.986000E-01 
1.096000E+03 2.989000E+02 3.718706E-04 1.729670E+00 4.416045E-05 4.416045E-02 2.989000E+02 1.048100E+00 
1.151629E+03 2.989000E+02 3.977809E-04 1.850185E+00 4.416045E-05 4.416045E-02 2.989000E+02 1.198000E+00 
1.211230E+03 2.989000E+02 3.736755E-04 1.738065E+00 4.416045E-05 4.416045E-02 2.989000E+02 1.051900E+00 
1.269871E+03 2.989000E+02 3.462482E-04 1.610493E+00 4.416045E-05 4.416045E-02 2.989000E+02 9.016000E-01 
1.328898E+03 2.989000E+02 3.195494E-04 1.486310E+00 4.416045E-05 4.416045E-02 2.989000E+02 7.512000E-01 
1.390320E+03 2.989000E+02 2.853785E-04 1.327372E+00 4.416045E-05 4.416045E-02 2.989000E+02 6.009000E-01 
1.453770E+03 2.989000E+02 2.567436E-04 1.194184E+00 4.416045E-05 4.416045E-02 2.989000E+02 4.506000E-01 
1.521191E+03 2.989000E+02 2.167522E-04 1.008173E+00 4.416045E-05 4.416045E-02 2.989000E+02 3.004000E-01 
1.569410E+03 2.989000E+02 2.139537E-04 9.951561E-01 4.416045E-05 4.416045E-02 2.989000E+02 2.753000E-01 
1.618430E+03 2.989000E+02 2.085362E-04 9.699578E-01 4.416045E-05 4.416045E-02 2.989000E+02 2.503000E-01 
1.669641E+03 2.989000E+02 2.023870E-04 9.413562E-01 4.416045E-05 4.416045E-02 2.989000E+02 2.253000E-01 
1.722469E+03 2.989000E+02 1.949503E-04 9.067660E-01 4.416045E-05 4.416045E-02 2.989000E+02 2.002000E-01 
1.775879E+03 2.989000E+02 1.900884E-04 8.841522E-01 4.416045E-05 4.416045E-02 2.989000E+02 1.752000E-01 
1.831320E+03 2.989000E+02 1.836674E-04 8.542864E-01 4.416045E-05 4.416045E-02 2.989000E+02 1.502000E-01 
1.887141E+03 2.989000E+02 1.767129E-04 8.219393E-01 4.416045E-05 4.416045E-02 2.989000E+02 1.252000E-01 
1.945762E+03 2.989000E+02 1.707653E-04 7.942750E-01 4.416045E-05 4.416045E-02 2.989000E+02 1.001000E-01 
2.007992E+03 2.989000E+02 1.609498E-04 7.486205E-01 4.416045E-05 4.416045E-02 2.989000E+02 7.500000E-02 
2.072621E+03 2.989000E+02 1.567541E-04 7.291054E-01 4.416045E-05 4.416045E-02 2.989000E+02 5.000000E-02 
2.143070E+03 2.989000E+02 1.481789E-04 6.892196E-01 4.416045E-05 4.416045E-02 2.989000E+02 2.500000E-02 
2.233699E+03 2.989000E+02 1.420175E-04 6.605613E-01 4.416045E-05 4.416045E-02 2.989000E+02 0.000000E+00 
